Oda Sayısı,Kişi Sayısı,Havuz,WiFi,Kahvaltı,Günlük Fiyat,Ev Tipi_oda,Ev Tipi_villa,Konum_şehir merkezi
7,5,1,1,1,820,False,False,True
4,10,1,1,0,530,True,False,False
8,3,1,0,0,490,True,False,False
5,2,1,1,0,470,True,False,False
7,3,0,0,0,770,False,True,True
3,8,1,1,0,890,False,True,True
7,6,1,1,1,830,False,True,False
8,13,1,1,0,640,True,False,False
5,14,1,1,1,720,False,False,False
4,7,0,1,1,580,True,False,True
8,12,1,1,0,780,True,False,True
8,6,1,1,0,670,False,False,False
3,6,0,0,0,470,True,False,True
6,12,0,1,0,490,True,False,False
5,3,0,0,1,460,False,False,False
2,12,1,0,0,560,False,False,False
8,13,1,0,0,740,True,False,True
6,14,0,0,0,710,False,False,True
2,8,0,1,0,620,False,True,False
5,12,1,1,1,600,True,False,False
1,7,1,1,0,840,False,True,True
6,7,0,1,0,840,False,True,True
9,6,0,0,1,720,False,False,True
1,5,1,0,1,400,True,False,False
3,10,1,1,1,940,False,True,True
7,8,1,1,1,700,False,False,False
4,5,1,0,0,580,True,False,True
9,9,1,1,1,800,True,False,True
3,9,1,1,1,780,False,True,False
5,1,1,0,0,660,False,False,True
3,6,0,1,0,620,False,True,False
7,7,1,0,1,790,False,True,False
5,3,1,1,0,730,False,False,True
9,7,0,1,1,930,False,True,True
7,11,0,0,0,700,False,False,True
2,11,0,1,0,650,False,False,True
4,7,0,1,1,680,False,True,False
9,14,1,0,0,720,False,False,False
2,13,1,1,1,800,False,True,False
9,11,0,1,0,640,False,False,False
5,2,0,0,0,720,False,True,True
2,7,0,1,0,360,True,False,False
4,1,0,1,0,340,True,False,False
7,5,0,1,1,470,True,False,False
8,9,1,1,0,750,True,False,True
3,7,0,0,1,360,True,False,False
1,7,1,0,0,540,True,False,True
4,11,1,1,0,540,True,False,False
2,13,1,0,0,570,False,False,False
8,12,1,1,0,880,False,False,True
4,2,1,1,1,580,False,False,False
2,8,0,0,1,500,True,False,True
6,3,1,0,1,480,True,False,False
6,8,1,1,0,950,False,True,True
4,3,0,1,1,490,False,False,False
6,10,0,1,0,570,False,False,False
2,7,0,0,1,340,True,False,False
2,2,0,1,0,710,False,True,True
4,4,0,1,1,400,True,False,False
8,11,1,1,0,870,False,False,True
7,6,0,0,1,830,False,True,True
9,11,0,1,1,670,False,False,False
8,9,1,0,0,650,False,False,False
5,5,0,1,1,680,False,True,False
2,13,0,1,1,700,False,True,False
5,9,0,1,1,870,False,True,True
8,5,0,1,1,490,True,False,False
9,10,1,0,0,580,True,False,False
9,8,0,1,1,540,True,False,False
1,13,1,0,0,450,True,False,False
9,13,0,1,1,740,True,False,True
7,1,1,0,1,880,False,True,True
9,7,0,0,1,880,False,True,True
8,4,1,0,1,680,True,False,True
1,5,1,0,0,620,False,False,True
8,6,1,1,0,820,False,False,True
8,5,0,1,0,710,False,True,False
3,12,1,1,1,810,False,False,True
1,1,1,0,0,480,True,False,True
8,12,0,1,1,710,True,False,True
3,9,1,0,0,550,False,False,False
3,2,1,0,0,380,True,False,False
1,9,0,1,0,460,False,False,False
5,10,1,0,1,930,False,True,True
7,2,1,1,0,760,False,False,True
9,9,1,0,0,720,True,False,True
7,6,0,1,0,700,False,True,False
9,11,0,0,1,770,False,False,True
8,9,0,0,1,480,True,False,False
2,13,1,0,0,470,True,False,False
1,6,0,1,0,330,True,False,False
7,6,1,0,1,630,False,False,False
7,13,0,1,1,950,False,True,True
8,11,0,0,1,600,False,False,False
5,14,1,0,0,540,True,False,False
3,2,0,0,0,380,False,False,False
8,8,1,1,1,870,False,True,False
6,3,1,0,1,730,False,False,True
3,7,1,0,1,710,False,True,False
1,5,0,0,1,700,False,True,True
3,3,0,0,0,290,True,False,False
5,1,0,0,1,590,False,True,False
3,8,0,0,0,740,False,True,True
1,3,0,0,1,380,False,False,False
5,2,0,1,0,370,True,False,False
7,1,1,0,1,580,False,False,False
7,4,0,0,1,560,True,False,True
9,13,0,0,0,760,False,False,True
3,8,1,1,1,770,False,False,True
7,13,0,1,0,770,False,True,False
1,3,1,1,1,680,False,True,False
4,14,0,0,0,570,True,False,True
4,1,0,1,0,440,False,False,False
5,4,0,0,0,490,True,False,True
7,9,0,1,0,730,False,True,False
7,13,0,1,1,950,False,True,True
4,1,0,1,1,520,True,False,True
7,12,0,1,0,760,False,False,True
3,14,1,1,0,800,False,False,True
6,11,0,1,0,630,True,False,True
2,2,0,1,0,710,False,True,True
9,9,1,1,0,870,False,False,True
5,2,1,0,0,820,False,True,True
6,13,1,1,0,850,False,False,True
4,3,1,0,1,440,True,False,False
7,7,1,1,1,590,True,False,False
9,3,1,1,0,710,True,False,True
7,9,1,0,1,960,False,True,True
1,6,0,1,1,760,False,True,True
1,3,1,0,0,750,False,True,True
9,9,0,0,1,500,True,False,False
9,1,0,0,1,570,True,False,True
4,10,1,0,0,880,False,True,True
9,3,1,1,1,990,False,True,True
3,1,0,0,1,300,True,False,False
7,2,0,1,1,690,False,False,True
6,12,0,0,0,590,True,False,True
8,8,1,1,0,990,False,True,True
9,7,1,0,1,980,False,True,True
5,2,1,0,1,450,True,False,False
1,2,1,1,1,670,False,False,True
3,9,0,0,1,630,False,False,True
8,13,1,0,0,740,True,False,True
6,13,1,1,0,1000,False,True,True
8,6,1,1,0,670,False,False,False
9,5,0,1,1,510,True,False,False
4,10,0,0,0,480,False,False,False
1,6,1,0,1,660,False,True,False
1,9,1,0,1,440,True,False,False
4,11,0,0,1,570,True,False,True
7,7,0,0,0,660,False,True,False
2,10,1,1,1,620,False,False,False
3,10,1,1,1,640,False,False,False
1,14,0,0,1,490,False,False,False
5,9,0,0,1,420,True,False,False
1,4,1,1,1,440,True,False,False
8,2,0,1,0,680,False,False,True
1,12,0,0,0,590,False,False,True
1,8,1,0,0,400,True,False,False
2,4,0,0,1,310,True,False,False
2,13,1,1,0,670,True,False,True
